"Email Settings","Email Settings"
"Tax Settings","Tax Settings"

"Delivery Time","Delivery Time"
"Shipping Costs","Shipping Costs"
"Hide estimated shipping costs in cart","Hide estimated shipping costs in cart"
"Replace with a link to the shipping costs cms page","Replace with a link to the shipping costs cms page"
"Here you find information regarding the shipping costs.","Here you find information regarding the shipping costs."
"Hide box ""Last Ordered Items""","Hide box ""Last Ordered Items"""
"Tax Settings","Tax Settings"

"Display on","Display on"
"On checkout (Magento Default)","On checkout (Magento Default)"
"On customer registration (or on checkout, if customer not registered before)","On customer registration (or on checkout, if customer not registered before)"
"On customer registration and on checkout","On customer registration and on checkout"
"Nowhere","Nowhere"
"Agreements not confirmed.","Agreements not confirmed."

"German Language Pack","German Language Pack"
"Base Price","Base Price"
"Newsletter Unsubscription for Guests, Double Opt In for registered Customers","Newsletter Unsubscription for Guests, Double Opt In for registered Customers"
"Debit Payment","Debit Payment"
"Cash on Delivery","Cash on Delivery"
"Bank Payment","Bank Payment"
"Invoice Payment","Invoice Payment"
"Extension Key","Extension Key"
"MagentoConnect","MagentoConnect"
"Bank Information","Bank Information"
